start_s,end_s,vertiport,waiting_passengers
55632.53522227984,56532.53522227984,JUG,1
55709.927771648814,55721.63478054603,LYBE,1
55721.63478054603,56606.16160234108,LYBE,2
55765.099825708356,58699.843831469225,DOR,0
56138.31164700396,56195.17206431417,BW,2
56195.17206431417,58911.52015708043,BW,0
56283.91491629288,57641.78572227984,LYBV,1
56532.53522227984,58456.46435091021,JUG,0
56606.16160234108,56609.927771648814,LYBE,3
56609.927771648814,57693.466341805244,LYBE,0
57641.78572227984,58639.46884968134,LYBV,0
57693.466341805244,58593.466341805244,LYBE,1
58456.46435091021,59356.46435091021,JUG,1
58593.466341805244,60532.52372209914,LYBE,0
58639.46884968134,59213.680150901244,LYBV,1
58699.843831469225,59700.08295677979,DOR,1
58911.52015708043,59811.52015708043,BW,1
59213.680150901244,59539.46884968134,LYBV,2
59356.46435091021,65708.12651290331,JUG,0
59539.46884968134,62381.63091570119,LYBV,0
59700.08295677979,61904.050724332155,DOR,0
59811.52015708043,65822.42371652849,BW,0
60532.52372209914,60679.76774160635,LYBE,1
60679.76774160635,60758.04982723885,LYBE,2
60758.04982723885,60976.873754802495,LYBE,3
60976.873754802495,61164.56153201922,LYBE,4
61164.56153201922,61246.282496645945,LYBE,1
61246.282496645945,61572.29123681237,LYBE,2
61572.29123681237,61658.04982723885,LYBE,3
61658.04982723885,62373.87100156278,LYBE,1
61904.050724332155,62804.050724332155,DOR,1
62373.87100156278,62472.29123681237,LYBE,2
62381.63091570119,63281.63091570119,LYBV,1
62472.29123681237,63273.87100156278,LYBE,1
62804.050724332155,89041.63539248033,DOR,0
63273.87100156278,63563.04186739216,LYBE,0
63281.63091570119,70312.19144560437,LYBV,0
63563.04186739216,64040.26853351937,LYBE,1
64040.26853351937,64338.99767623288,LYBE,2
64338.99767623288,64463.04186739216,LYBE,3
64463.04186739216,65238.99767623288,LYBE,1
65238.99767623288,66135.75229621665,LYBE,0
65708.12651290331,66608.12651290331,JUG,1
65822.42371652849,65910.57205051741,BW,1
65910.57205051741,66240.1103010612,BW,2
66135.75229621665,66868.331753458,LYBE,1
66240.1103010612,66722.42371652849,BW,3
66608.12651290331,77927.86833325229,JUG,0
66722.42371652849,77235.63257846772,BW,0
66868.331753458,66879.79907423501,LYBE,2
66879.79907423501,66987.69491750377,LYBE,3
66987.69491750377,67035.75229621665,LYBE,4
67035.75229621665,67195.75801265058,LYBE,2
67195.75801265058,67205.94679581649,LYBE,3
67205.94679581649,67273.38639987921,LYBE,4
67273.38639987921,67650.22199746499,LYBE,5
67650.22199746499,68095.75801265058,LYBE,2
68095.75801265058,68115.756986869,LYBE,1
68115.756986869,68310.25953852848,LYBE,2
68310.25953852848,68675.02932403152,LYBE,1
68675.02932403152,69015.756986869,LYBE,2
69015.756986869,69575.02932403152,LYBE,1
69575.02932403152,73074.79042692418,LYBE,0
70312.19144560437,71212.19144560437,LYBV,1
71212.19144560437,72822.3132147912,LYBV,0
72822.3132147912,73722.3132147912,LYBV,1
73074.79042692418,73167.6920201456,LYBE,1
73167.6920201456,73974.79042692418,LYBE,2
73722.3132147912,89041.63539248033,LYBV,0
73974.79042692418,74067.6920201456,LYBE,1
74067.6920201456,76449.33931912016,LYBE,0
76449.33931912016,76653.12634063415,LYBE,1
76653.12634063415,77349.33931912016,LYBE,2
77235.63257846772,78135.63257846772,BW,1
