request_hour_local,origin,destination,generated_passengers,boarded_passengers,completed_journeys,on_time_passengers,fraction_boarding_within_wait_limit,wait_to_boarding_min_mean,wait_to_boarding_min_p95,wait_to_boarding_min_max,extra_after_boarding_min_mean,extra_after_boarding_min_p95,extra_after_boarding_min_max,journey_duration_min_mean,journey_duration_min_p95,journey_duration_min_max
2026-07-31T03:00:00+02:00,JUG,LYBE,4,4,4,3,0.75,9.755760800985657,18.050618672072673,18.58896314361491,0.37484293023174664,1.274465962787938,1.4993717209269866,36.745524565067086,43.333379302992135,43.334050058239335
2026-07-31T03:00:00+02:00,LYBV,LYBE,5,5,5,3,0.6,10.46410612231295,16.927165513779553,17.227405423564807,1.957086452965426,4.892716132413565,4.892716132413565,40.198762448879336,46.45497746902111,46.54244368056494
2026-07-31T04:00:00+02:00,BW,LYBE,4,4,4,4,1.0,2.8664545122487497,7.750933462371996,8.690242806129511,0.0,0.0,0.0,31.389958150572344,35.9502952868983,36.797137031004844
2026-07-31T04:00:00+02:00,DOR,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,37.59000088690315,37.59000088690315,37.59000088690315
2026-07-31T04:00:00+02:00,JUG,LYBE,1,1,1,0,0.0,19.207078492161237,19.207078492161237,19.207078492161237,5.894629449382713,5.894629449382713,5.894629449382713,47.97855361504565,47.97855361504565,47.97855361504565
2026-07-31T04:00:00+02:00,LYBV,LYBE,3,3,3,3,1.0,12.54418688875499,14.77755949216832,15.0,2.5791679455569767,2.5791679455569767,2.5791679455569767,43.16369062928432,45.39046599706118,45.56952605973411
2026-07-31T05:00:00+02:00,BW,LYBE,2,2,2,2,1.0,15.0,15.0,15.0,0.0,0.0,0.0,36.01497869523725,36.164276884313175,36.18086557198828
2026-07-31T05:00:00+02:00,JUG,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,40.45072437430111,40.45072437430111,40.45072437430111
2026-07-31T05:00:00+02:00,LYBE,BW,2,2,2,2,1.0,14.164366139781487,14.91643661397815,15.0,0.0,0.0,0.0,28.27829650644817,29.030366980644832,29.113930366666683
2026-07-31T05:00:00+02:00,LYBE,DOR,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,28.48000356666665,28.48000356666665,28.48000356666665
