scenario,fleet_size,origin,destination,metric,n,mean,std,ci_low,ci_high,confidence
low,4,JUG,LYBE,wait_to_boarding_min_mean,2,17.04016575335662,2.717956183250571,-7.379701688999777,41.460033195713024,0.95
low,4,JUG,LYBE,wait_to_boarding_min_p95,2,38.49810464733699,22.894843688590964,-167.2039046176587,244.20011391233268,0.95
low,4,LYBE,BW,boarded_passengers,2,46.5,4.949747468305833,2.028283423388693,90.9717165766113,0.95
low,4,LYBE,BW,completed_journeys,2,46.5,4.949747468305833,2.028283423388693,90.9717165766113,0.95
low,4,LYBE,BW,extra_after_boarding_min_max,2,3.4807990585493824,1.494306713484948,-9.94501408972739,16.906612206826154,0.95
low,4,LYBE,BW,extra_after_boarding_min_mean,2,0.38069952892669917,0.38466652317630506,-3.075392060542272,3.8367911183956704,0.95
low,4,LYBE,BW,extra_after_boarding_min_p95,2,1.6901653793238678,2.2986529120919434,-18.962411639831423,22.34274239847916,0.95
low,4,LYBE,BW,fraction_boarding_within_wait_limit,2,0.7504651162790698,0.04176863312125193,0.3751888368618178,1.1257413956963216,0.95
low,4,LYBE,BW,generated_passengers,2,46.5,4.949747468305833,2.028283423388693,90.9717165766113,0.95
low,4,LYBE,BW,journey_duration_min_max,2,44.35259763647106,4.329668806449287,5.452066798498507,83.25312847444361,0.95
low,4,LYBE,BW,journey_duration_min_mean,2,29.01007646239482,0.49961885239390125,24.521179171721865,33.49897375306777,0.95
low,4,LYBE,BW,journey_duration_min_p95,2,38.82871804626052,4.336393241002146,-0.13222943912437302,77.78966553164541,0.95
low,4,LYBE,BW,on_time_passengers,2,35.0,5.656854249492381,-15.824818944698634,85.82481894469863,0.95
low,4,LYBE,BW,wait_to_boarding_min_max,2,26.18325980900196,5.24126031758702,-20.907595803425778,73.2741154214297,0.95
low,4,LYBE,BW,wait_to_boarding_min_mean,2,13.43991168308055,1.0914183294266158,3.6339070487891654,23.245916317371936,0.95
low,4,LYBE,BW,wait_to_boarding_min_p95,2,23.04182669800322,1.829387368918936,6.605433306151738,39.4782200898547,0.95
low,4,LYBE,DOR,boarded_passengers,2,22.5,0.7071067811865476,16.146897631912672,28.853102368087328,0.95
low,4,LYBE,DOR,completed_journeys,2,22.5,0.7071067811865476,16.146897631912672,28.853102368087328,0.95
low,4,LYBE,DOR,extra_after_boarding_min_max,2,4.012596080033593,3.0424992454859905,-23.32317508732216,31.348367247389344,0.95
low,4,LYBE,DOR,extra_after_boarding_min_mean,2,0.801857815136193,0.6914330848806705,-5.410421978812535,7.014137609084922,0.95
low,4,LYBE,DOR,extra_after_boarding_min_p95,2,3.7008504077626023,2.76536540090018,-21.14497195531098,28.54667277083618,0.95
low,4,LYBE,DOR,fraction_boarding_within_wait_limit,2,0.7766798418972332,0.06987221157969836,0.1489029280546118,1.4044567557398544,0.95
low,4,LYBE,DOR,generated_passengers,2,22.5,0.7071067811865476,16.146897631912672,28.853102368087328,0.95
