scenario,fleet_size,aircraft_id,activity,metric,n,mean,std,ci_low,ci_high,confidence
low,4,EVTOL_003,charging_overlay,fraction_of_observed_time,2,0.5496242288394144,0.023498373752180276,0.33849971709216686,0.760748740586662,0.95
low,4,EVTOL_003,charging_overlay,minutes,2,903.5628551490797,51.27608396690574,442.8655189847252,1364.2601913134342,0.95
low,4,EVTOL_003,cleaning,fraction_of_observed_time,2,0.03042637471814551,0.0004263418477772524,0.026595845193052733,0.03425690424323829,0.95
low,4,EVTOL_003,cleaning,minutes,2,50.0,0.0,50.0,50.0,0.95
low,4,EVTOL_003,cruise,fraction_of_observed_time,2,0.14962323440200384,0.0025981830634112016,0.12627948574613093,0.17296698305787675,0.95
low,4,EVTOL_003,cruise,minutes,2,245.9315822999994,7.71567696019732,176.60897520383796,315.2541893961609,0.95
low,4,EVTOL_003,departure_finalization,fraction_of_observed_time,2,0.03498128684951733,0.0008005886284635775,0.027788283406924262,0.0421742902921104,0.95
low,4,EVTOL_003,departure_finalization,minutes,2,57.5,2.1213203435596424,38.44069289573801,76.55930710426199,0.95
low,4,EVTOL_003,disembarking,fraction_of_observed_time,2,0.05931876899349374,0.0009758678516047368,0.05055094421239504,0.06808659377459245,0.95
low,4,EVTOL_003,disembarking,minutes,2,97.5,2.9698484809834915,70.81697005403329,124.18302994596671,0.95
low,4,EVTOL_003,idle,fraction_of_observed_time,2,0.5652040709962022,0.0008164095128571842,0.5578689225469701,0.5725392194454343,0.95
low,4,EVTOL_003,idle,minutes,2,928.9067282080609,14.357684430254464,799.9080516559324,1057.9054047601894,0.95
low,4,EVTOL_003,landing,fraction_of_observed_time,2,0.03498128684951733,0.0008005886284635775,0.027788283406924262,0.0421742902921104,0.95
low,4,EVTOL_003,landing,minutes,2,57.5,2.1213203435596424,38.44069289573801,76.55930710426199,0.95
low,4,EVTOL_003,takeoff,fraction_of_observed_time,2,0.023320857899678214,0.0005337257523090377,0.01852552227128296,0.028116193528073468,0.95
low,4,EVTOL_003,takeoff,minutes,2,38.333333333333314,1.4142135623730698,25.627128597158883,51.03953806950774,0.95
low,4,EVTOL_003,waiting_for_departure,fraction_of_observed_time,2,0.015296414969894666,0.007678726079643894,-0.05369420163629727,0.08428703157608661,0.95
low,4,EVTOL_003,waiting_for_departure,minutes,2,25.050821120556748,12.267517707087155,-85.16845250126913,135.27009474238264,0.95
low,4,EVTOL_004,boarding,fraction_of_observed_time,2,0.07293291359919968,0.0010217415295157475,0.06375293017456446,0.0821128970238349,0.95
low,4,EVTOL_004,boarding,minutes,2,119.87499999999997,3.3587572106360604,89.69776375158551,150.05223624841443,0.95
low,4,EVTOL_004,charging_overlay,fraction_of_observed_time,2,0.5374069668713689,0.06514399081839806,-0.04788856888992443,1.1227025026326622,0.95
low,4,EVTOL_004,charging_overlay,minutes,2,882.4634605022436,94.68654958933813,31.738565158124743,1733.1883558463624,0.95
low,4,EVTOL_004,cleaning,fraction_of_observed_time,2,0.03042637471814551,0.0004263418477772524,0.026595845193052733,0.03425690424323829,0.95
low,4,EVTOL_004,cleaning,minutes,2,50.0,0.0,50.0,50.0,0.95
low,4,EVTOL_004,cruise,fraction_of_observed_time,2,0.14512941053926404,0.013196017167724004,0.026567900243874773,0.2636909208346533,0.95
low,4,EVTOL_004,cruise,minutes,2,238.36424625000032,18.345143329318823,73.53967289090357,403.1888196090971,0.95
low,4,EVTOL_004,departure_finalization,fraction_of_observed_time,2,0.031637400322637996,0.0004171923139165981,0.027889076097768018,0.03538572454750798,0.95
low,4,EVTOL_004,departure_finalization,minutes,2,52.0,1.4142135623730951,39.293795263825345,64.70620473617466,0.95
low,4,EVTOL_004,disembarking,fraction_of_observed_time,2,0.04961968925027366,0.00012219489009999876,0.0485218117212818,0.05071756677926551,0.95
low,4,EVTOL_004,disembarking,minutes,2,81.55,1.3435028842544443,69.47910550063403,93.62089449936596,0.95
low,4,EVTOL_004,idle,fraction_of_observed_time,2,0.601886812414528,0.014238547174101928,0.4739585416403217,0.7298150831887343,0.95
low,4,EVTOL_004,idle,minutes,2,989.34835113092,37.26135543008048,654.568355069002,1324.1283471928382,0.95
low,4,EVTOL_004,landing,fraction_of_observed_time,2,0.03163740032263798,0.0004171923139166128,0.027889076097767872,0.035385724547508095,0.95
low,4,EVTOL_004,landing,minutes,2,51.999999999999986,1.4142135623731151,39.293795263825146,64.70620473617483,0.95
low,4,EVTOL_004,takeoff,fraction_of_observed_time,2,0.021091600215091995,0.0002781282092777345,0.018592717398511985,0.023590483031672004,0.95
low,4,EVTOL_004,takeoff,minutes,2,34.66666666666667,0.942809041582065,26.195863509216885,43.13746982411646,0.95
low,4,EVTOL_004,waiting_for_cleaning_crew,fraction_of_observed_time,2,0.0006031732237637907,0.0008530157535070544,-0.007060869248757423,0.008267215696285003,0.95
low,4,EVTOL_004,waiting_for_cleaning_crew,minutes,2,1.0011205240694836,1.4157982227091241,-11.719321820343843,13.72156286848281,0.95
low,4,EVTOL_004,waiting_for_departure,fraction_of_observed_time,2,0.015035225394457275,0.003725653168834336,-0.018438440251734644,0.04850889104064919,0.95
low,4,EVTOL_004,waiting_for_departure,minutes,2,24.667080390293904,5.776766093136508,-27.235103724823375,76.56926450541118,0.95
