scenario,fleet_size,stage,scope,causes,metric,n,mean,std,ci_low,ci_high,confidence
low,4,before_boarding,selected_plan,battery_before_repositioning|group_formation,fraction_of_late_passengers_exposed,2,0.20846153846153848,0.09681923619323497,-0.6614247857842651,1.078347862707342,0.95
low,4,before_boarding,selected_plan,battery_before_repositioning|group_formation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,battery_before_repositioning|group_formation,late_passengers_exposed,2,12.5,7.7781745930520225,-57.38412604896061,82.38412604896061,0.95
low,4,before_boarding,selected_plan,battery_before_repositioning|group_formation,observed_passenger_minutes,2,74.59753093579913,43.760942416348286,-318.57893730357057,467.7739991751688,0.95
low,4,before_boarding,selected_plan,battery_before_repositioning|group_formation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,cleaning,exposed_passengers,2,19.0,2.8284271247461903,-6.412409472349317,44.41240947234932,0.95
low,4,before_boarding,selected_plan,cleaning,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,cleaning,fraction_of_late_passengers_exposed,2,0.26,0.0848528137423857,-0.5023722841704794,1.0223722841704794,0.95
low,4,before_boarding,selected_plan,cleaning,late_passengers_blocked_after_limit,2,13.5,3.5355339059327378,-18.26551184043665,45.265511840436645,0.95
low,4,before_boarding,selected_plan,cleaning,late_passengers_exposed,2,14.5,2.1213203435596424,-4.559307104261986,33.55930710426199,0.95
low,4,before_boarding,selected_plan,cleaning,observed_passenger_minutes,2,104.52530666850035,4.578308389294771,63.39083781069263,145.65977552630807,0.95
low,4,before_boarding,selected_plan,cleaning,overdue_passenger_minutes,2,74.72147902504472,10.235107237829109,-17.237311019602274,166.6802690696917,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,exposed_passengers,2,1.0,1.4142135623730951,-11.706204736174659,13.706204736174659,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,fraction_of_late_passengers_exposed,2,0.02,0.0282842712474619,-0.23412409472349313,0.27412409472349314,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,late_passengers_exposed,2,1.0,1.4142135623730951,-11.706204736174659,13.706204736174659,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,observed_passenger_minutes,2,2.002241048138967,2.8315964454182483,-23.438643640687687,27.44312573696562,0.95
low,4,before_boarding,selected_plan,cleaning_crew|group_formation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,cleaning|group_formation,exposed_passengers,2,20.5,6.363961030678928,-36.677921312785955,77.67792131278595,0.95
low,4,before_boarding,selected_plan,cleaning|group_formation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,cleaning|group_formation,fraction_of_late_passengers_exposed,2,0.21923076923076923,0.11422494157628843,-0.8070396133064145,1.2455011517679528,0.95
low,4,before_boarding,selected_plan,cleaning|group_formation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
