scenario,fleet_size,vertiport,resource_kind,metric,n,mean,std,ci_low,ci_high,confidence
low,4,LYBE,cleaner,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBE,cleaner,fully_occupied_minutes,2,105.0,35.35533905932738,-212.65511840436642,422.6551184043664,0.95
low,4,LYBE,cleaner,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBE,cleaner,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBE,cleaner,utilization,2,0.06374465230227212,0.020619378009791387,-0.12151310896919569,0.24900241357373992,0.95
low,4,LYBE,movement,busy_unit_minutes,2,189.5,5.892556509887883,136.55748026593903,242.44251973406097,0.95
low,4,LYBE,movement,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBE,movement,fully_occupied_minutes,2,189.5,5.892556509887883,136.55748026593903,242.44251973406097,0.95
low,4,LYBE,movement,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBE,movement,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBE,movement,utilization,2,0.11529083774746592,0.0019699470452781494,0.09759156576854044,0.1329901097263914,0.95
low,4,LYBE,stand,busy_unit_minutes,2,2959.2181517085555,201.6939252245286,1147.0701309773985,4771.3661724397125,0.95
low,4,LYBE,stand,capacity,2,6.0,0.0,6.0,6.0,0.95
low,4,LYBE,stand,fully_occupied_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,LYBE,stand,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBE,stand,peak_occupied_units,2,4.0,0.0,4.0,4.0,0.95
low,4,LYBE,stand,utilization,2,0.2999842835874655,0.01625058804159909,0.15397854284679258,0.4459900243281384,0.95
low,4,LYBV,charger,busy_unit_minutes,2,340.9265689598012,37.0732035438054,7.837050525955817,674.0160873936466,0.95
low,4,LYBV,charger,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,LYBV,charger,fully_occupied_minutes,2,1.6831466251993787,1.0445766620387724,-7.702002325163333,11.068295575562091,0.95
low,4,LYBV,charger,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBV,charger,peak_occupied_units,2,2.0,0.0,2.0,2.0,0.95
low,4,LYBV,charger,utilization,2,0.10381062467593533,0.012733544463925854,-0.010595733232503984,0.21821698258437464,0.95
low,4,LYBV,cleaner,busy_unit_minutes,2,25.0,7.0710678118654755,-38.5310236808733,88.53102368087329,0.95
low,4,LYBV,cleaner,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBV,cleaner,fully_occupied_minutes,2,25.0,7.0710678118654755,-38.5310236808733,88.53102368087329,0.95
